Dimension,Entropy,Cinternal,Cexternal
35.0,0.99684376,0.3,0.1
30.0,0.998139,0.3,0.05
26.0,0.99742705,0.3,0.01
55.0,0.99749744,0.35,0.1
39.0,0.9973057,0.35,0.05
34.0,0.9979093,0.35,0.01
51.0,0.9978983,0.4,0.1
48.0,0.99762565,0.4,0.05
48.0,0.9961865,0.4,0.01
62.0,0.9980208,0.45,0.1
54.0,0.99652576,0.45,0.05
55.0,0.9971731,0.45,0.01
44.0,0.99792606,0.3,0.1
35.0,0.99801636,0.3,0.05
28.0,0.9986361,0.3,0.01
47.0,0.99730355,0.35,0.1
41.0,0.9975217,0.35,0.05
44.0,0.9974952,0.35,0.01
57.0,0.9980711,0.4,0.1
55.0,0.99689054,0.4,0.05
39.0,0.9971643,0.4,0.01
64.0,0.99809116,0.45,0.1
54.0,0.99769115,0.45,0.05
48.0,0.9963898,0.45,0.01
33.0,0.9980299,0.3,0.1
39.0,0.99736255,0.3,0.05
27.0,0.99784833,0.3,0.01
41.0,0.99709505,0.35,0.1
44.0,0.9971719,0.35,0.05
29.0,0.998104,0.35,0.01
51.0,0.99654037,0.4,0.1
55.0,0.99775153,0.4,0.05
43.0,0.99776936,0.4,0.01
61.0,0.99783176,0.45,0.1
59.0,0.997026,0.45,0.05
49.0,0.99745053,0.45,0.01
42.0,0.997823,0.3,0.1
36.0,0.9970498,0.3,0.05
30.0,0.9982252,0.3,0.01
49.0,0.99778867,0.35,0.1
46.0,0.99814326,0.35,0.05
26.0,0.998633,0.35,0.01
58.0,0.997073,0.4,0.1
42.0,0.99794656,0.4,0.05
44.0,0.99756914,0.4,0.01
29.0,0.9979674,0.45,0.1
62.0,0.9981489,0.45,0.05
45.0,0.99735427,0.45,0.01
51.0,0.9965846,0.3,0.1
36.0,0.9974216,0.3,0.05
24.0,0.9983454,0.3,0.01
53.0,0.9968745,0.35,0.1
43.0,0.99803877,0.35,0.05
38.0,0.9984438,0.35,0.01
54.0,0.9966305,0.4,0.1
54.0,0.99774075,0.4,0.05
39.0,0.9970011,0.4,0.01
54.0,0.99688107,0.45,0.1
61.0,0.99728155,0.45,0.05
48.0,0.9973424,0.45,0.01
35.0,0.99709976,0.3,0.1
40.0,0.9972566,0.3,0.05
39.0,0.99814713,0.3,0.01
58.0,0.99779457,0.35,0.1
39.0,0.99783826,0.35,0.05
41.0,0.9975848,0.35,0.01
49.0,0.9963982,0.4,0.1
46.0,0.9969679,0.4,0.05
43.0,0.9973739,0.4,0.01
61.0,0.996749,0.45,0.1
65.0,0.9981193,0.45,0.05
51.0,0.9973051,0.45,0.01
48.0,0.9978328,0.3,0.1
42.0,0.9977744,0.3,0.05
79.0,0.99169046,0.3,0.01
46.0,0.997419,0.35,0.1
49.0,0.9965096,0.35,0.05
30.0,0.9984956,0.35,0.01
50.0,0.9964298,0.4,0.1
55.0,0.9979737,0.4,0.05
43.0,0.9977356,0.4,0.01
51.0,0.9969267,0.45,0.1
56.0,0.9982471,0.45,0.05
54.0,0.99806756,0.45,0.01
54.0,0.9973964,0.3,0.1
31.0,0.9980398,0.3,0.05
31.0,0.9982762,0.3,0.01
46.0,0.99650496,0.35,0.1
38.0,0.9978198,0.35,0.05
30.0,0.9984039,0.35,0.01
54.0,0.9974603,0.4,0.1
49.0,0.9967794,0.4,0.05
31.0,0.99828005,0.4,0.01
60.0,0.99784887,0.45,0.1
59.0,0.9972012,0.45,0.05
