Dimension,Entropy,Predominance,Cint
33.0,0.9976481,0.5,0.3
40.0,0.9979201,0.8,0.3
50.0,0.9973105,0.9,0.3
16.0,0.99633175,0.99,0.3
46.0,0.99681944,0.5,0.35
53.0,0.99804866,0.8,0.35
56.0,0.99777377,0.9,0.35
24.0,0.99500465,0.99,0.35
42.0,0.9970671,0.5,0.4
48.0,0.9967904,0.8,0.4
56.0,0.99792665,0.9,0.4
12.0,0.99504566,0.99,0.4
62.0,0.99788684,0.5,0.45
57.0,0.9968005,0.8,0.45
58.0,0.9961351,0.9,0.45
59.0,0.99572176,0.99,0.45
29.0,0.99825746,0.5,0.3
31.0,0.99781823,0.8,0.3
40.0,0.9979619,0.9,0.3
15.0,0.9952661,0.99,0.3
41.0,0.9968794,0.5,0.35
41.0,0.99832577,0.8,0.35
53.0,0.9976239,0.9,0.35
21.0,0.99591285,0.99,0.35
58.0,0.9980217,0.5,0.4
54.0,0.9970768,0.8,0.4
54.0,0.99728715,0.9,0.4
47.0,0.99514174,0.99,0.4
55.0,0.99669296,0.5,0.45
62.0,0.9980104,0.8,0.45
61.0,0.9961752,0.9,0.45
12.0,0.99583906,0.99,0.45
35.0,0.9969913,0.5,0.3
41.0,0.997093,0.8,0.3
44.0,0.9969009,0.9,0.3
16.0,0.99640584,0.99,0.3
41.0,0.9979964,0.5,0.35
45.0,0.9965757,0.8,0.35
44.0,0.9963742,0.9,0.35
44.0,0.99525326,0.99,0.35
52.0,0.9973465,0.5,0.4
54.0,0.9972437,0.8,0.4
59.0,0.9962374,0.9,0.4
27.0,0.99476147,0.99,0.4
58.0,0.997159,0.5,0.45
58.0,0.9967453,0.8,0.45
59.0,0.9962693,0.9,0.45
50.0,0.9950996,0.99,0.45
37.0,0.9978239,0.5,0.3
43.0,0.997787,0.8,0.3
33.0,0.99729043,0.9,0.3
7.0,0.9955575,0.99,0.3
44.0,0.9972529,0.5,0.35
49.0,0.9974604,0.8,0.35
50.0,0.9963728,0.9,0.35
18.0,0.9964461,0.99,0.35
57.0,0.9974046,0.5,0.4
58.0,0.9981795,0.8,0.4
44.0,0.9968498,0.9,0.4
24.0,0.99560624,0.99,0.4
24.0,0.9981047,0.5,0.45
52.0,0.99770343,0.8,0.45
37.0,0.9979429,0.9,0.45
32.0,0.9967047,0.99,0.45
30.0,0.9977608,0.5,0.3
35.0,0.9982209,0.8,0.3
31.0,0.99854314,0.9,0.3
19.0,0.9959031,0.99,0.3
45.0,0.99786675,0.5,0.35
48.0,0.99643934,0.8,0.35
56.0,0.99732405,0.9,0.35
39.0,0.9962016,0.99,0.35
47.0,0.99603,0.5,0.4
50.0,0.99758685,0.8,0.4
55.0,0.99789304,0.9,0.4
23.0,0.9960217,0.99,0.4
59.0,0.9961812,0.5,0.45
61.0,0.9978744,0.8,0.45
57.0,0.9967156,0.9,0.45
47.0,0.9955126,0.99,0.45
34.0,0.9977116,0.5,0.3
51.0,0.9970033,0.8,0.3
33.0,0.997878,0.9,0.3
13.0,0.9954523,0.99,0.3
39.0,0.9982751,0.5,0.35
43.0,0.9979747,0.8,0.35
41.0,0.99763256,0.9,0.35
18.0,0.9957953,0.99,0.35
54.0,0.9962898,0.5,0.4
44.0,0.996195,0.8,0.4
49.0,0.99710006,0.9,0.4
23.0,0.99367523,0.99,0.4
58.0,0.9967286,0.5,0.45
50.0,0.9971223,0.8,0.45
64.0,0.997888,0.9,0.45
16.0,0.99560845,0.99,0.45
35.0,0.99776393,0.5,0.3
40.0,0.99770385,0.8,0.3
47.0,0.9976244,0.9,0.3
21.0,0.9955728,0.99,0.3
38.0,0.9974689,0.5,0.35
58.0,0.99741304,0.8,0.35
47.0,0.99743694,0.9,0.35
21.0,0.9954809,0.99,0.35
51.0,0.99689955,0.5,0.4
55.0,0.9969918,0.8,0.4
58.0,0.99664354,0.9,0.4
24.0,0.9960412,0.99,0.4
56.0,0.9974049,0.5,0.45
57.0,0.9968933,0.8,0.45
61.0,0.9977667,0.9,0.45
25.0,0.9961422,0.99,0.45
39.0,0.9975161,0.5,0.3
34.0,0.9974674,0.8,0.3
39.0,0.9971188,0.9,0.3
20.0,0.9957039,0.99,0.3
41.0,0.99792725,0.5,0.35
53.0,0.9964415,0.8,0.35
41.0,0.9958765,0.9,0.35
19.0,0.99638563,0.99,0.35
51.0,0.9976095,0.5,0.4
58.0,0.99794644,0.8,0.4
53.0,0.99733967,0.9,0.4
19.0,0.9960344,0.99,0.4
56.0,0.9970453,0.5,0.45
32.0,0.9974562,0.8,0.45
28.0,0.99761254,0.9,0.45
20.0,0.9957911,0.99,0.45
35.0,0.99840266,0.5,0.3
37.0,0.9980765,0.8,0.3
37.0,0.9966121,0.9,0.3
17.0,0.99570936,0.99,0.3
36.0,0.99766815,0.5,0.35
47.0,0.9958526,0.8,0.35
53.0,0.9973328,0.9,0.35
14.0,0.99420977,0.99,0.35
52.0,0.9965036,0.5,0.4
50.0,0.9973993,0.8,0.4
53.0,0.9971711,0.9,0.4
20.0,0.9954752,0.99,0.4
49.0,0.9959287,0.5,0.45
62.0,0.99781793,0.8,0.45
62.0,0.997632,0.9,0.45
6.0,0.995764,0.99,0.45
36.0,0.99840444,0.5,0.3
37.0,0.9972712,0.8,0.3
36.0,0.9970635,0.9,0.3
44.0,0.99606127,0.99,0.3
50.0,0.99676883,0.5,0.35
44.0,0.9968847,0.8,0.35
44.0,0.99717003,0.9,0.35
22.0,0.99562365,0.99,0.35
48.0,0.9978025,0.5,0.4
55.0,0.99693626,0.8,0.4
56.0,0.9972493,0.9,0.4
51.0,0.9957437,0.99,0.4
56.0,0.9969114,0.5,0.45
57.0,0.99789983,0.8,0.45
54.0,0.99768937,0.9,0.45
32.0,0.9968313,0.99,0.45
48.0,0.9973641,0.5,0.3
46.0,0.99724036,0.8,0.3
39.0,0.9972839,0.9,0.3
16.0,0.9960624,0.99,0.3
41.0,0.9979183,0.5,0.35
31.0,0.99860233,0.8,0.35
47.0,0.9975589,0.9,0.35
15.0,0.99596494,0.99,0.35
55.0,0.99812555,0.5,0.4
56.0,0.99801797,0.8,0.4
57.0,0.9970247,0.9,0.4
26.0,0.9949312,0.99,0.4
44.0,0.99670976,0.5,0.45
55.0,0.9974132,0.8,0.45
58.0,0.9965003,0.9,0.45
43.0,0.9951844,0.99,0.45
39.0,0.9978853,0.5,0.3
34.0,0.99804664,0.8,0.3
45.0,0.996896,0.9,0.3
16.0,0.9965789,0.99,0.3
36.0,0.9983702,0.5,0.35
49.0,0.99788344,0.8,0.35
40.0,0.9975802,0.9,0.35
43.0,0.99522775,0.99,0.35
35.0,0.99707794,0.5,0.4
50.0,0.9975183,0.8,0.4
44.0,0.9971851,0.9,0.4
51.0,0.99559164,0.99,0.4
55.0,0.9967737,0.5,0.45
64.0,0.9982003,0.8,0.45
57.0,0.99675655,0.9,0.45
31.0,0.99405926,0.99,0.45
40.0,0.9980471,0.5,0.3
54.0,0.9972054,0.8,0.3
36.0,0.99766785,0.9,0.3
16.0,0.9961308,0.99,0.3
44.0,0.99729633,0.5,0.35
42.0,0.99813735,0.8,0.35
48.0,0.99786663,0.9,0.35
24.0,0.9948003,0.99,0.35
54.0,0.9980015,0.5,0.4
59.0,0.997185,0.8,0.4
56.0,0.9959336,0.9,0.4
25.0,0.99594045,0.99,0.4
55.0,0.997178,0.5,0.45
59.0,0.9979258,0.8,0.45
60.0,0.9980076,0.9,0.45
27.0,0.995257,0.99,0.45
26.0,0.99860775,0.5,0.3
49.0,0.99672663,0.8,0.3
29.0,0.99743557,0.9,0.3
22.0,0.9948375,0.99,0.3
43.0,0.9970827,0.5,0.35
42.0,0.9975417,0.8,0.35
57.0,0.99777687,0.9,0.35
9.0,0.9941831,0.99,0.35
45.0,0.9970843,0.5,0.4
40.0,0.99738467,0.8,0.4
50.0,0.99631584,0.9,0.4
25.0,0.99591225,0.99,0.4
57.0,0.9977689,0.5,0.45
53.0,0.9975022,0.8,0.45
64.0,0.9981421,0.9,0.45
33.0,0.9948558,0.99,0.45
45.0,0.9980562,0.5,0.3
38.0,0.99777436,0.8,0.3
40.0,0.9982599,0.9,0.3
14.0,0.99664336,0.99,0.3
39.0,0.9968194,0.5,0.35
42.0,0.9971491,0.8,0.35
40.0,0.9963097,0.9,0.35
12.0,0.99575275,0.99,0.35
56.0,0.9975236,0.5,0.4
49.0,0.99700546,0.8,0.4
47.0,0.99774724,0.9,0.4
16.0,0.99644876,0.99,0.4
55.0,0.99730366,0.5,0.45
58.0,0.99653333,0.8,0.45
49.0,0.99689114,0.9,0.45
14.0,0.99528456,0.99,0.45
40.0,0.9980201,0.5,0.3
39.0,0.99675363,0.8,0.3
54.0,0.99676096,0.9,0.3
14.0,0.9962678,0.99,0.3
36.0,0.9976377,0.5,0.35
49.0,0.9982126,0.8,0.35
51.0,0.99794203,0.9,0.35
14.0,0.99549556,0.99,0.35
55.0,0.9970294,0.5,0.4
51.0,0.99540854,0.8,0.4
53.0,0.9974446,0.9,0.4
14.0,0.9947077,0.99,0.4
55.0,0.99683374,0.5,0.45
59.0,0.99754804,0.8,0.45
54.0,0.9969413,0.9,0.45
20.0,0.99453604,0.99,0.45
38.0,0.9975739,0.5,0.3
37.0,0.99798477,0.8,0.3
42.0,0.99726635,0.9,0.3
11.0,0.9955259,0.99,0.3
34.0,0.9979053,0.5,0.35
43.0,0.99742097,0.8,0.35
41.0,0.99686897,0.9,0.35
39.0,0.9954466,0.99,0.35
54.0,0.9969398,0.5,0.4
54.0,0.99734634,0.8,0.4
61.0,0.9977315,0.9,0.4
14.0,0.9946331,0.99,0.4
60.0,0.99722964,0.5,0.45
64.0,0.9967566,0.8,0.45
61.0,0.99780416,0.9,0.45
