COP20,COP21,COP22,COP23,COP24,COP25,COP26
0.041696593,0.04533751,0.051568534,0.05327056,0.042616557,0.045859735,0.052318487
0.025612937,0.028355608,0.031735566,0.03107295,0.028277403,0.029321032,0.02957807
0.02184503,0.026676504,0.02259623,0.02531426,0.02596447,0.027140435,0.023116259
0.019519305,0.023237573,0.020244896,0.020972574,0.024618285,0.018310487,0.02002557
0.018583484,0.019854585,0.018891059,0.018369218,0.021186896,0.01763601,0.019494047
0.018418755,0.019114384,0.017328871,0.017013634,0.020930592,0.016942684,0.018488389
0.017234249,0.018279117,0.015875975,0.016339745,0.017818732,0.016922321,0.017254123
0.016860971,0.015795322,0.015374074,0.015518499,0.017527457,0.015629526,0.016956912
0.016368097,0.015149387,0.015073868,0.015118113,0.016673932,0.015008584,0.016240126
0.016190553,0.014749923,0.014639244,0.014930797,0.015823573,0.014820158,0.015657311
0.015658287,0.013913508,0.014473839,0.014563129,0.0155237075,0.014266213,0.014814529
0.015320617,0.013380243,0.01418541,0.013710217,0.015080843,0.014092411,0.014282305
0.0145169785,0.013273581,0.0140864095,0.013193764,0.01489618,0.013714458,0.013791031
0.014091886,0.012860826,0.0138158435,0.012954385,0.014318726,0.013107146,0.0134760495
0.013810381,0.0126592945,0.013305912,0.0127858855,0.013933906,0.012706465,0.013242147
0.013588515,0.012585476,0.013034963,0.012408551,0.0135837365,0.012434955,0.012433622
0.013352922,0.012409598,0.012424762,0.012263545,0.0135567235,0.012108398,0.011940129
0.013250692,0.012187072,0.012102949,0.011950378,0.012871977,0.0118519785,0.011860844
0.012641955,0.011976125,0.011924463,0.01184206,0.012783635,0.011712975,0.0118531035
0.012457599,0.011865996,0.011760663,0.011421603,0.012291695,0.0116815725,0.01176536
0.01187232,0.011713125,0.011582607,0.011416946,0.012206438,0.011344167,0.011574407
0.011718308,0.01164272,0.011298789,0.01088781,0.0118419845,0.011143502,0.011503852
0.011501853,0.011385518,0.011066418,0.01076245,0.011770068,0.010808779,0.010855386
0.01134563,0.011198596,0.010918102,0.010605326,0.011627724,0.010768175,0.010834922
0.010984111,0.010973148,0.010748542,0.010509601,0.011554613,0.010720742,0.010689595
0.010592327,0.010700144,0.010645703,0.010410091,0.01112716,0.010439075,0.010501116
0.010558292,0.01043162,0.010509185,0.010240426,0.010752901,0.010154182,0.010398934
0.0104118185,0.0102082165,0.010367035,0.010124396,0.010479716,0.0099925315,0.010366963
0.010392216,0.00998238,0.010201382,0.010027237,0.010415468,0.009829142,0.01009637
0.010223394,0.009951625,0.0101142,0.0099658575,0.009955503,0.00973243,0.010031715
0.010125841,0.009866779,0.010058819,0.009928809,0.009685979,0.009653354,0.009938929
0.009919895,0.009744567,0.010015719,0.009806015,0.009599064,0.009608751,0.009827729
0.009752813,0.009595122,0.009666202,0.009788601,0.009571065,0.009522338,0.009721787
0.00960464,0.009391579,0.009560258,0.009653211,0.009445173,0.00941875,0.009563839
0.009450331,0.009353584,0.00950592,0.0096090995,0.009426587,0.009392569,0.009464704
0.009439289,0.009281772,0.009457552,0.009594574,0.009228305,0.009360705,0.00937078
0.009366591,0.009153436,0.009336331,0.009555892,0.009147331,0.009307256,0.00926809
0.00931173,0.009132454,0.009299851,0.009403487,0.009038515,0.009252943,0.009203049
0.009216199,0.009079274,0.0090698125,0.009349943,0.0089393975,0.009130326,0.009058872
0.009115436,0.0090347305,0.009017243,0.009282039,0.008931642,0.009075647,0.008997248
0.009005986,0.008953546,0.008936414,0.009136061,0.008858189,0.008997871,0.00891322
0.008958379,0.008805403,0.0088584,0.009014842,0.008789365,0.008956724,0.008787299
0.008949485,0.00876671,0.008837516,0.00880169,0.008640456,0.008943085,0.008696194
0.008773151,0.008638175,0.008787839,0.008771938,0.008498271,0.008848053,0.008578354
0.008690138,0.008587188,0.008623121,0.0087403655,0.008421805,0.008778858,0.008502798
0.008647218,0.008521737,0.0085704,0.008669032,0.008408889,0.008729008,0.008477244
0.008506527,0.008467544,0.008528007,0.008627089,0.008368572,0.0087274015,0.008474046
0.008394232,0.0083313575,0.008461831,0.008473259,0.00834566,0.008652465,0.008441842
0.008373733,0.0082170805,0.008392562,0.008313307,0.008258178,0.008609735,0.008354388
0.008262258,0.008200016,0.008359293,0.008265198,0.0080940295,0.008512401,0.008296135
0.00821667,0.008112236,0.008256925,0.008236526,0.0080757225,0.008441977,0.008189816
0.008139825,0.008061056,0.008244592,0.00817413,0.008045121,0.00840291,0.008120939
0.008070515,0.008016804,0.008227168,0.008046272,0.007992923,0.008337165,0.007985629
0.0079972,0.007965699,0.008150929,0.008001392,0.007945036,0.008327931,0.007967911
0.007904674,0.00795529,0.008106247,0.007930009,0.007917203,0.008294127,0.007906137
0.00788269,0.007929701,0.008062771,0.007895831,0.007858347,0.008222901,0.007854229
0.007840294,0.007884445,0.00797674,0.0077677723,0.0077944137,0.008128718,0.0077869324
0.0077690925,0.007830873,0.007973371,0.007734872,0.007774794,0.008083574,0.0077785584
